PLAYER,POS,MPG,FG.,FT.,X3PM,PTS,TREB,AST,STL,BLK,TO,PUNT_FG,PUNT_FT,PUNT_3PM,PUNT_PTS,PUNT_AST,PUNT_STL,PUNT_BLK,PUNT_TO
Kawhi Leonard,"SG,SF",32.2,0.47,0.88,2.1,26.9,7.3,5,1.8,0.6,2.7,0,0,0,0,0,0,0,1
Kyrie Irving ,"PG,SG",32.9,0.48,0.92,2.8,27.4,5.2,6.4,1.4,0.5,2.6,0,0,0,0,0,0,1,1
Nikola Jokic,"PF,C",32.3,0.53,0.83,1.1,20.2,10.2,6.9,1.2,0.7,3.1,0,0,0,0,0,0,0,1
Brandon Ingram,"SG,SF,PF",34.3,0.47,0.86,2.4,24.3,6.2,4.3,1,0.6,3.1,0,0,0,0,0,0,0,1
Jimmy Butler ,"SG,SF",34.3,0.46,0.84,0.5,20.2,6.6,6.1,1.7,0.5,2.2,0,0,1,0,0,0,1,1
Zach LaVine ,"PG,SG,SF",34.8,0.45,0.8,3.1,25.5,4.8,4.2,1.5,0.5,3.4,0,0,0,0,0,0,1,1
DeMar DeRozan,"SG,SF",34.3,0.52,0.83,0.1,22.1,5.7,5.6,1,0.2,2.4,0,0,1,0,0,0,1,1
Chris Paul,PG,31.8,0.49,0.9,1.6,17.7,5,6.8,1.6,0.1,2.2,0,0,0,0,0,0,1,1
Kyle Lowry,PG,36.6,0.41,0.86,2.9,19.7,4.8,7.7,1.3,0.4,3,1,0,0,0,0,0,1,1
Fred VanVleet ,"PG,SG",35.8,0.41,0.83,2.7,17.6,3.8,6.6,1.8,0.3,2.3,1,0,0,0,0,0,1,1
Ricky Rubio,PG,31.6,0.41,0.86,1.2,13.1,4.6,8.9,1.5,0.2,2.7,1,0,0,0,0,0,1,1
Devonte' Graham,"PG,SG",35.1,0.38,0.81,3.5,18.2,3.3,7.5,1,0.2,2.9,1,0,0,0,0,0,1,1
James Harden,"PG,SG",36.7,0.44,0.86,4.4,34.4,6.3,7.4,1.7,0.9,4.4,0,0,0,0,0,0,0,1
Damian Lillard,PG,36.9,0.46,0.88,3.9,28.9,4.3,7.8,1,0.4,2.9,0,0,0,0,0,0,0,1
